Model,Environment,Difficulty,Run,Moves,Score
mixtral-8x7b-32768,env_easy,1,1,5,1
mixtral-8x7b-32768,env_easy,1,2,5,1
mixtral-8x7b-32768,env_easy,1,3,6,1
mixtral-8x7b-32768,env_easy,1,4,6,1
mixtral-8x7b-32768,env_easy,1,5,6,1
mixtral-8x7b-32768,env_medium,2,1,10,1
mixtral-8x7b-32768,env_medium,2,2,11,1
mixtral-8x7b-32768,env_medium,2,3,10,1
mixtral-8x7b-32768,env_medium,2,4,10,1
mixtral-8x7b-32768,env_medium,2,5,10,1
llama3-8b-8192,env_easy,1,1,5,1
llama3-8b-8192,env_easy,1,2,5,1
llama3-8b-8192,env_easy,1,3,6,1
llama3-8b-8192,env_easy,1,4,5,1
llama3-8b-8192,env_easy,1,5,5,1
llama3-8b-8192,env_medium,2,1,16,1
llama3-8b-8192,env_medium,2,2,12,1
llama3-8b-8192,env_medium,2,3,14,1
llama3-8b-8192,env_medium,2,4,13,1
llama3-8b-8192,env_medium,2,5,11,1
gemma-7b-it,env_easy,1,1,20,0
gemma-7b-it,env_easy,1,2,20,0
gemma-7b-it,env_easy,1,3,20,0
gemma-7b-it,env_easy,1,4,20,0
gemma-7b-it,env_easy,1,5,20,0
gemma-7b-it,env_medium,1,1,30,0
gemma-7b-it,env_medium,1,2,30,0
gemma-7b-it,env_medium,1,3,30,0
gemma-7b-it,env_medium,1,4,30,0
gemma-7b-it,env_medium,1,5,30,0
gemma2-9b-it,env_medium,2,1,20,0
gemma2-9b-it,env_medium,2,2,10,1
gemma2-9b-it,env_medium,2,3,10,1
gemma2-9b-it,env_medium,2,4,10,1
gemma2-9b-it,env_medium,2,5,10,1
gemma-7b-it,env_hard,1,5,40,0
gemma2-9b-it,env_hard,2,5,40,0
llama3-8b-8192,env_hard,3,1,40,0
